sample_id,location,oyster_id,collection_code,date_collected,month,station,event_id,MEblack,MEyellow,MEblue,MEred,MEgreen,MEbrown,MEturquoise
CMT_SJ1_20Jun24,CMT,SJ1,20Jun24,2024-06-20,Jun,CMAST,CMT_20240620,-0.08333328359754288,-0.09680835683208867,0.23126077489285693,-0.10664314401235163,0.08073614893701865,0.10033116899771534,-0.030609806298781374
CMT_SJ2_20Jun24,CMT,SJ2,20Jun24,2024-06-20,Jun,CMAST,CMT_20240620,-0.05763265814678568,-0.2191098774887369,0.13083371977783936,-0.2459941577281089,-0.13297666056495847,0.3416134563441866,-0.11680274213145238
CMT_SJ3_20Jun24,CMT,SJ3,20Jun24,2024-06-20,Jun,CMAST,CMT_20240620,-0.13716935108572953,0.061043972989011985,0.06693943759795257,-0.06024952868422216,0.09297922689133593,-0.04073754564978504,-0.08267824240368896
DAF_SJ1_21Jun24,DAF,SJ1,21Jun24,2024-06-21,Jun,DUML,DAF_20240621,-0.09140394663843206,0.14387481407892938,0.2549084197759789,0.2806245534581696,-0.21084722008517076,-0.23827496639633713,-0.15713286391173198
DAF_SJ2_21Jun24,DAF,SJ2,21Jun24,2024-06-21,Jun,DUML,DAF_20240621,-0.10676617449880078,-0.3115325912287888,0.34745670941809553,0.41435473237357,-0.10931602234428485,-0.19126235004617106,-0.15479084906320228
DAF_SJ3_21Jun24,DAF,SJ3,21Jun24,2024-06-21,Jun,DUML,DAF_20240621,-0.0760842203432796,-0.06569981626662787,0.1559969748685913,-0.09482843726866416,-0.032637119945744024,-0.22734400773292845,-0.14662274957580446
CMT_SJ1_22Jul24,CMT,SJ1,22Jul24,2024-07-22,Jul,CMAST,CMT_20240722,-0.1860681365691626,-0.1572393625898149,-0.3425778693030207,-0.18205258548475517,-0.11231465331180196,0.6174074678801115,0.14684137030234862
CMT_SJ2_22Jul24,CMT,SJ2,22Jul24,2024-07-22,Jul,CMAST,CMT_20240722,-0.1717171051997714,-0.008927621383705885,-0.1314879815273823,0.6412833050973978,-0.04189519778353558,-0.03277096027771183,0.1333482253357455
CMT_SJ3_22Jul24,CMT,SJ3,22Jul24,2024-07-22,Jul,CMAST,CMT_20240722,-0.032498044338012566,-0.15775806712920998,-0.09795734054736503,-0.17620207379258127,0.8975639700750504,-0.2163749988947934,-0.013118493138929928
DAF_SJ1_23Jul24,DAF,SJ1,23Jul24,2024-07-23,Jul,DUML,DAF_20240723,-0.0454224734158742,-0.06709068700086084,0.14908437556890197,0.07623231521532452,0.07309485745733454,-0.07205988007428082,-0.0950959971057766
DAF_SJ2_23Jul24,DAF,SJ2,23Jul24,2024-07-23,Jul,DUML,DAF_20240723,-0.007868774922799077,-0.019030552452931688,0.10513001722484588,-0.25196836977062553,0.013984263908562155,0.23974577576791425,-0.11934716969101676
DAF_SJ3_23Jul24,DAF,SJ3,23Jul24,2024-07-23,Jul,DUML,DAF_20240723,-0.03962573371278231,0.07564916352887263,0.009554949614651994,0.0026825168968821634,0.08001531520298757,0.01822612516436875,-0.14864807622170656
CMT_SJ1_19Aug24,CMT,SJ1,19Aug24,2024-08-19,Aug,CMAST,CMT_20240819,-0.12154695592061251,-0.20411527749918879,-0.4472499489026434,-0.07092799741013305,-0.05725964757201826,0.08309775919725251,0.49188794189548457
CMT_SJ2_19Aug24,CMT,SJ2,19Aug24,2024-08-19,Aug,CMAST,CMT_20240819,0.4736331826892253,-0.19659010660651785,-0.5742839976482921,-0.20124860489130703,-0.11643901669665636,-0.24646742124083798,0.7233565010480212
CMT_SJ3_19Aug24,CMT,SJ3,19Aug24,2024-08-19,Aug,CMAST,CMT_20240819,-0.14390957736916477,-0.15510953349119488,0.03639149703578861,-0.16551162050230098,-0.04618408824412237,0.3123608827368502,-0.08962524142066472
DAF_SJ1_20Aug24,DAF,SJ1,20Aug24,2024-08-20,Aug,DUML,DAF_20240820,0.7833500386275751,0.5708519504142098,0.06692224674346177,-0.03744010866978658,-0.2106921023134165,-0.16324278787683266,-0.1696594069961666
DAF_SJ2_20Aug24,DAF,SJ2,20Aug24,2024-08-20,Aug,DUML,DAF_20240820,0.054407990888124404,0.4138457739901642,0.04034026161382851,0.2117463814763661,-0.07147629443249623,-0.17512810311884305,-0.1441669465421991
DAF_SJ3_20Aug24,DAF,SJ3,20Aug24,2024-08-20,Aug,DUML,DAF_20240820,-0.010344776446175397,0.39374617496847975,-0.0012622462040905787,-0.03385717630287264,-0.0963357591780833,-0.1091196147798779,-0.02713545408047874
